id;nbrtest;positif;negatif;gueris;deces;date
1;Croatian Kuna calculating ADP;South Carolina National;sensor;haptic;Gloves Orchestrator;2021-02-16
2;productivity Maryland;Gorgeous Plastic Sausages Handmade Concrete Tuna iterate;Reactive Designer;leverage Indonesia;Associate Intranet;2021-02-16
3;Checking Account;e-tailers deliverables;Ergonomic modular;neural HTTP Savings Account;Mouse;2021-02-16
4;Principal envisioneer;calculate solid state;Gorgeous;Group Grocery;Handmade Frozen Tuna Mission Chief;2021-02-16
5;Borders backing up;Generic 1080p;customer loyalty Avon Mississippi;Savings Account Villages;Intranet Bedfordshire;2021-02-16
6;IB Ridges;schemas;Future Product Street;Soap definition generate;Iraqi Dinar purple;2021-02-16
7;unleash Future;Fantastic Belarussian Ruble;Handcrafted Metal Chips Saint Martin;mint green;Nebraska back-end;2021-02-16
8;Personal Loan Account withdrawal orchestration;expedite;invoice;methodologies;Avon;2021-02-16
9;Rustic Rubber Bacon Indiana Views;Mall;Baht Borders Checking Account;Rustic Concrete Ball Tactics leverage;customized Principal Barbados Dollar;2021-02-16
10;Concrete Orchestrator;Plastic PCI;Shirt Paradigm;Mobility;markets Estonia Cliffs;2021-02-16
